,comment,date
8074,"No trade deal for US is a positive for the rest
","May 23, 2018 8:24AM ET"
8075,"so bad, the timing is everything.
","May 22, 2018 10:53PM ET"
8076,"I just want to know where you gonna go with this contraction subtraction ..........t
","May 22, 2018 4:55PM ET"
8077,"Contraction By Subtraction = NEGATIVE MARKET REACTION.
","May 22, 2018 4:29PM ET"
8078,"Talking about trend , yields, rate hike you just name it IT doesn’t mater , trump is just ——— with the whole market and us and believe me he is laughing at us market and the whole world... Just go through his tweets from two days ago and today.... Samar———...Show more
","May 22, 2018 4:12PM ET"
8079,"All of you guys are just being played by a smart guy called trump. He is taking you and the whole market to the cleaners , making huge money out of it. Has never been seen such a smart——- making the whole world look like fulls. I bet he has made a lot mone...Show more
","May 22, 2018 4:07PM ET"
8080,"Trend reversed to down
","May 22, 2018 4:00PM ET"
8081,"Buy above 24810...sell below 24790
","May 22, 2018 3:54PM ET"
8082,"Market is simply reacting to the news of the day/week. I would not expect any sort of breakout for a while...It will take significant news to start a trend in any direction.
","May 22, 2018 3:21PM ET"
8083,"Bulls, wishing month of May on their side. It Is Not Happening.
","May 22, 2018 3:16PM ET"
8084,"so guys ?what u think now ?
","May 22, 2018 3:11PM ET"
8085,"See u at 24650
","May 22, 2018 3:02PM ET"
8086,"TRUMP says....If it happens, it happens. If it doesn't happen, it doesn't happen.( Matter) So many things on his mind... the poor guy. Is he ready to pass the baton.?
","May 22, 2018 2:59PM ET"
8087,"buy buy buy
","May 22, 2018 1:11PM ET"
8088,"No Volume = Rigmarole Market, run by Central BANKS. Or, Don't Stir Muddy Waters.
","May 22, 2018 12:54PM ET"
8089,"SEOUL, May 22 (Yonhap) -- Global sales of mobile dynamic random access memory (DRAM) chips used in mobile devices reached record high levels in the first quarter of this year, market data showed Tuesday.. . According to DRAMeXchange, the worldwide market f...Show more
","May 22, 2018 12:40PM ET"
8090,"A break of 2741 in S&amp;P to the upside is very bullish. If this level holds, all market will experience material declines. If this is passed, at least 1%-1.5% increase to be expected.
","May 22, 2018 12:02PM ET"
8091,"Protect ur long at 24990...reenter at 25010
","May 22, 2018 11:57AM ET"
8092,"Buy Texas Instruments - automotive semiconductor
","May 22, 2018 11:18AM ET"
8093,"China slashChina slashes tariffs on imported carses tariffs on imported cars. China will cut the tariff to around 13.8%, the Ministry said, from the current level of 25%, while reducing the levy on imported car parts to 6% from 10%, in an effort to open th...Show more
","May 22, 2018 10:52AM ET"
8094,"Financial crisis
","May 22, 2018 10:15AM ET"
8095,"Going red
","May 22, 2018 9:53AM ET"
8096,"fasten your seatbelts
","May 22, 2018 9:51AM ET"
8097,"Default jitters in china bonds market is crimping note sales
","May 22, 2018 2:08AM ET"
8098,"Our sl triggered@24870
","May 22, 2018 1:56AM ET"
8099,"or a last minute hammering down like no other
","May 21, 2018 3:34PM ET"
8100,"just like HSI, DJI gonna close near its breakdown point 24964
","May 21, 2018 3:33PM ET"
8101,"The British are coming. The British have come..... time for the market hangover!
","May 21, 2018 3:08PM ET"
8102,"gap cleared now downtime
","May 21, 2018 3:03PM ET"
8103,"will there be light above .5 or maybe .618?
","May 21, 2018 2:54PM ET"
8104,"Last line of defence @ 24964.... most likely a slight bounce before heading downtown maybe even beyond 24894 to fill today's gap up....... but but but, hope there is still, i see
","May 21, 2018 2:48PM ET"
8105,"bye bye DJI
","May 21, 2018 2:31PM ET"
8106,"25014 &amp; 25024 crucial resistance to beat
","May 21, 2018 2:29PM ET"
8107,"Will test highs before going down long and patient
","May 21, 2018 1:58PM ET"
8108,"25037.76 beat it come onnnn
","May 21, 2018 1:48PM ET"
8109,"hey people... DJI looks tired, a possible retrace before 25275. hopefully it will hold above 25000 or else longs are in it for a longgggg long ride down...
","May 21, 2018 1:47PM ET"
8110,"Good Afternoon everyone hope you are all prosperity on todays market. I advised short possitions to close , hopefully you took that advice GLTA
","May 21, 2018 1:12PM ET"
8111,"By the way have seen where $ is now???
","May 21, 2018 11:54AM ET"
8112,"Japan and China will most likely make up for this by allowing their currency to slip.
","May 21, 2018 11:33AM ET"
8113,"long 24990. perfect 61.8% fib touch on todays big move up
","May 21, 2018 11:32AM ET"
8114,"abc corrective rally done
","May 21, 2018 11:26AM ET"
8115,"All bears gone
","May 21, 2018 11:19AM ET"
8116,"Bullish signal 26,400
","May 21, 2018 10:08AM ET"
8117,"26,200-26,400 very bullish as I said many times
","May 21, 2018 9:52AM ET"
8118,"26,200-26,400
","May 21, 2018 9:51AM ET"
8119,"NEXT suport time Japan exports jump on strong U.S. car demand . . Iron and steel exports to the U.S. jumped 14%, despite the imposition of a 25% tariff on steel imports to the U.S. Ministry officials said it was hard to isolate the impact of the tariffs du...Show more
","May 21, 2018 9:41AM ET"
8120,"Why US Semiconductor Stocks Are Poised to Rally. https://www.investopedia.com/investing/why-us-semiconductor-stocks-are-poised-rally/
","May 21, 2018 8:40AM ET"
8121,"So I think our Dow the will soon at22800
","May 21, 2018 5:00AM ET"
8122,"Be alert gold now trade near our the 1280 Sell from near 1270$ So as per fundamental it's not too good for market. And it will touch 1267 below and ocillating on this level near future.
","May 21, 2018 4:59AM ET"
8123,"But Silver do not perform. Sell from above 17.5and first tg achieved@16.89 But 2nd tg1612 I hope you wait for tg .and also our viwe 15.89 last thing till next 3-5 week
","May 21, 2018 4:58AM ET"
8124,"explosion is coming , see 15 m candles by using BB ,  i think price going down to 2482X .
","May 21, 2018 4:40AM ET"
8125,"Ready for the pop?
","May 21, 2018 12:52AM ET"
8126,"Now shorters You can dump now all you want but smbody picks what you discard.. Come on Trade war is on hold!!!
","May 20, 2018 11:20PM ET"
8127,"26,400 the fixed target
","May 20, 2018 10:38PM ET"
8128,"Dow futures weekend GAP 200 points higher on ""#USDJPY #AUDUSD gap higher at the beginning of this week's session as sentiment improves. News from US Treasury Secretary Steven Mnuchin that Trump won't impose tariffs on Chinese products for now crossed the w...Show more
","May 20, 2018 7:14PM ET"
8129,"This is as good as it gets. From now on down trend. Cost of borrowing rising, Oil prices rising, Rate hikes, Yields rising, Down trend. Imo Trade safe for all
","May 20, 2018 6:35PM ET"
8130,"Katie with all respect , when you talk about money is cheap, that definition means huge in the world of finance. If it is cheap , we should have touched at least 27000 in Dow,. Have you ever considered why we are at this level now? Either you are a non bel...Show more
","May 20, 2018 5:44PM ET"
8131,"Money still chesp and will continue to be cheap even if 5% in the next two years
","May 20, 2018 4:07PM ET"
8132,"By the way that the yields are rising, I suspect that the market is anticipating a massive pull back in the equities since all the signs ( rising oil prices, dampened trade war, possible trade war with Europe over Iran) are pointing towards a more rate hik...Show more
","May 20, 2018 3:54PM ET"
8133,"MAGA make some money on the trump Trades
","May 20, 2018 2:06PM ET"
8134,"Kudlow: U.S. Talks With China Making ‘Terrific Progress’ To Avoid Trade War. http://newyork.cbslocal.com/2018/05/20/kudlow-u-s-talks-with-china-making-terrific-progress-to-avoid-trade-war/
","May 20, 2018 12:46PM ET"
8135,"The statement from White House came on Saturday. But more rate hikes means yields will rise above 3.2 that means a massive shift from equities towards safer return. Imo
","May 20, 2018 4:35AM ET"
8136,"May 19,2018..WSJ..China Rejects U.S Target for Narrowing Trade Gap..A last ditch effort by the Trump.. administration failed to get Chin to accept its demand for a $200 billion cut in the U.S. bilateral trade deficit, as Chinese official resisted committin...Show more
","May 20, 2018 2:51AM ET"
8137,"After the statement from White House about the agreement on trade with China, we now should see some upward movement in the Dow and s&amp;p at the opening. But one should cosiously keep an eye on the 10 yield!!!!
","May 20, 2018 2:00AM ET"
8138,"dow likely test 25500 coming week
","May 19, 2018 8:45PM ET"
8139,"Continue selling it from above26000
","May 18, 2018 11:47PM ET"
8140,"Continue selling it from above27000
","May 18, 2018 11:45PM ET"
8141,"Dow 2nd tg 22800 still not achieved but it's sl also didn't get closing basses 24870 .I think you should again sell side .it's safe for tg
","May 18, 2018 11:42PM ET"
8142,"Avoid trading for 2-3 days
","May 18, 2018 4:55PM ET"
8143,"Is there someone doing money today? This stuff is nuts!!
","May 18, 2018 3:11PM ET"
8144,"Global, U.S. electronics supply chains see healthy midyear business conditions. Chip foundry sales have been a leading indicator for global semiconductor and semiconductor capital equipment shipments. After dropping to near zero in mid-2017, foundry growth...Show more
","May 18, 2018 11:09AM ET"
8145,"Dow Buy above 24735. Sell below 24680
","May 18, 2018 9:37AM ET"
8146,"Getting above $80 /b now means a lot
","May 17, 2018 6:09PM ET"
8147,"Respect Loai. It’s all about trading the best way possible mate. I really admire your knowledge and views. I think the way the yields are going( 10 year high) oil prices, geopolitical facts, rate hike, I honestly can not help it , there is no way that the ...Show more
","May 17, 2018 6:04PM ET"
8148,"Loai talks about break out or I better say dreaming about it. But one important factor at this time is the possible trade war!!!!!Geopolitical problems, rate hike, rising the yields.......how can any one with a simplest knowledge of trading, talk about a b...Show more
","May 17, 2018 5:01PM ET"
8149,"Slowly sinking...
","May 17, 2018 1:59PM ET"
8150,"Slowly sinking...
","May 17, 2018 1:59PM ET"
8151,"BTFD SL 24705 TP 24860
","May 17, 2018 12:12PM ET"
8152,"Going higher
","May 17, 2018 10:47AM ET"
8153,"The latest report released by the Semiconductor Equipment and Materials International (SEMI) shows that global silicon wafer shipments, an important chip industry indicator, reached 3,084 million square inches in the first quarter of this year, up 3.6% fro...Show more
","May 17, 2018 10:44AM ET"
8154,"S. Korean chipmakers' outlook solid for 2018. http://english.yonhapnews.co.kr/news/2018/05/17/0200000000AEN20180517003400320.html
","May 17, 2018 10:41AM ET"
8155,"Breakout...
","May 17, 2018 10:36AM ET"
8156,"Dow Intra-day Buy above 24784
","May 17, 2018 10:08AM ET"
8157,"5 Reasons to Bet on the Rebound in Semiconductor ETFs. https://finance.yahoo.com/news/5-reasons-bet-rebound-semiconductor-170005013.html
","May 17, 2018 9:42AM ET"
8158,"With the bond yield eve higher today, shall I short, hmm
","May 17, 2018 3:06AM ET"
8159,"Im an ultra bear. I have lost all my money on bear bets. I was right. But the market decided that right doesnt mean you earn money. Dont listen to those making money. Listen to the one who lost. This rally will last until rates go up. Period.
","May 17, 2018 1:33AM ET"
8160,"any one keeping short till fibo 32.8%
","May 16, 2018 3:23PM ET"
8161,"Since 15 day telling don't short unless not break 24130 eod basis. Instead buy will not hurt u.
","May 16, 2018 2:04PM ET"
8162,"Trade safe for all
","May 16, 2018 1:09PM ET"
8163,"Profit taking is what is happening now But leveraging is taking place Which will result The market sell off in order to run to safety, imo
","May 16, 2018 1:07PM ET"
8164,"Technicals matters, but didn’t prevent 1987, 2000, tech bubble, 2007 market melt down!!!!!!
","May 16, 2018 1:01PM ET"
8165,"Loi I hope you are right, but soon or later bcz the cost of borrowing is getting more and more expensive, the market would and should react to it in a very devestating way!!! Imo
","May 16, 2018 12:56PM ET"
8166,"On what basis you say break out?
","May 16, 2018 12:50PM ET"
8167,"Possible breakout above 24810 or reversal if rejected. I see a breakout though...
","May 16, 2018 12:41PM ET"
8168,"Video: Jim Cramer Reveals How the Market Can Mount a Rally. TheStreet's founder and Action Alerts PLUS Portfolio Manager Jim Cramer thinks investors should be watching the semiconductor space led by Micron Technology and the retail space led by Macy's on W...Show more
","May 16, 2018 12:33PM ET"
8169,"TP hit, trade closed.
","May 16, 2018 12:32PM ET"
8170,"Whoever bought on the dip, your target is 24795 and 24880. Keep your SL at 24610. Good luck to all.
","May 16, 2018 12:00PM ET"
8171,"US 10-years bond breakout from 36 years resist downtrendline
","May 16, 2018 11:08AM ET"
8172,"24522
","May 16, 2018 10:54AM ET"
8173,"Corrective rally wave b done. Wave c otw to .....
","May 16, 2018 10:24AM ET"
8174,"Buy dips
","May 16, 2018 10:18AM ET"
8175,,
8176,,
8177,,
8178,,
8179,,
8180,,
8181,,
8182,,
8183,,
8184,,
8185,,
8186,,
8187,,
8188,,
8189,,
8190,,
8191,,
8192,,
8193,,
8194,,
8195,,
8196,,
8197,,
8198,,
8199,,
8200,,
8201,,
8202,,
8203,,
8204,,
8205,,
8206,,
8207,,
8208,,
8209,,
8210,,
8211,,
8212,,"May 14, 2018 10:20AM ET"
8213,"Won’t stop before 26016
","May 14, 2018 10:15AM ET"
8214,"Will break 25000 soon close 25100
","May 14, 2018 9:49AM ET"
8215,"Going to drop today
","May 14, 2018 9:48AM ET"
8216,"2nd short 24.950 ( now avg 24.900 ),, room for one last short later if needed..
","May 14, 2018 9:48AM ET"
8217,"yup somebody is buying up those bonds this thing is going higher
","May 14, 2018 9:42AM ET"
8218,"Just follow the trend going higher
","May 14, 2018 9:34AM ET"
8219,"Dow intraday Buy above 24929 sell below 24858
","May 14, 2018 9:31AM ET"
8220,"In Iraq cleric sadar now has a chance to win the election favored by Iran. US. Debt pile, Multiple rate hikes, with all respect for the bulls, but imo there is no reason to be long at this current situation!!!!! Safe trading for all
","May 14, 2018 6:47AM ET"
8221,"Election in Iraq also US. Debt pile are concerned for the market. Trump might damp down the uncertainty with his tweets and a meeting with un. But at the end of the day reality that fed will do more hike this year in order not to be behind the curve, will ...Show more
","May 14, 2018 6:20AM ET"
8222,"Nice word of Mr. Trump toward ZTE have lifted the fear of trade war and Dow rise to 100 points. Shorting the market now is at your peril. Wait to short at 29000-30000. Even Kim Jung Un would like to create a better world. Grab those stocks who would most l...Show more
","May 14, 2018 5:46AM ET"
8223,"A lot of money.
","May 12, 2018 1:16AM ET"
8224,"Rob, steal, cheat, max out your credit cards, use grandmas egg money, use the kids piggy bank, sell plasma, pawn your wedding ring. But for the love of Mike get in DOW 30 it's not too late to make a ******** Golden book say's Trump will make you rich. Get ...Show more
","May 12, 2018 1:14AM ET"
8225,"It's no point shorting this market. Vix fell to 12.69 shares volume has fallen too. Market will move higher over time. Txs to market manipulation done by the Fed's
","May 11, 2018 4:33PM ET"
8226,"25020
","May 11, 2018 4:22PM ET"
8227,"consolidation around 24720 all shorters burn money
","May 11, 2018 12:33PM ET"
8228,"Hence forth no technicals or fundamentals to drive the markets only trump antics to decide course of dow
","May 11, 2018 12:31PM ET"
8229,"Sell Dow now for mid term tg 22800 Sl above 24880 closing basses
","May 11, 2018 10:38AM ET"
8230,"Ok its time.. 1st short 24850 ,,
","May 11, 2018 10:33AM ET"
8231,"start building short position 24800- 24850
","May 11, 2018 10:00AM ET"
8232,"star building short position.
","May 11, 2018 9:56AM ET"
8233,"Warning don't shy
","May 11, 2018 9:47AM ET"
8234,"Dow Intra-day Buy above 24793, Sell below 24724
","May 11, 2018 9:45AM ET"
8235,"Has volatility already fallen? Vix is already low
","May 11, 2018 8:38AM ET"
8236,"buy dow as this today is friday so will go up
","May 11, 2018 8:01AM ET"
8237,"Be alert Sell now for tg below 22800
","May 11, 2018 5:17AM ET"
8238,"Analysis show a lighter up trend and then some correction. So have a safe trading.
","May 11, 2018 2:46AM ET"
8239,"Jerome , what ever you are on please change it. Do more research it might be handy for your future. Or seek some help,
","May 10, 2018 10:04PM ET"
8240,"You must surely be trump’s relative, Or completely lunitike to post such a nonsenses comment about the market which is outmostly over valued. One suggestion to you stop trading , you might hurt yourself or don’t post nonsense mate
","May 10, 2018 9:57PM ET"
8241,"Dow surge...Trump is our friend. NRA...Big wall...future is bright...Get in, you know you want to.
","May 10, 2018 9:19PM ET"
8242,"Trump gives speech..instant cash...Steal borrow raid your childs piggy bank...give plasma..max the credit cards..GET IN DOW 30..Big profits...Share this info with a friend...The gold book is open.
","May 10, 2018 9:13PM ET"
8243,"Tech stocks have regained their mojo in May, sector is back near records. . . https://www.marketwatch.com/story/tech-stocks-have-regained-their-mojo-in-may-sector-is-back-near-records-2018-05-10
","May 10, 2018 8:27PM ET"
8244,"DEAD MAN WALKINIG
","May 10, 2018 8:24PM ET"
8245,"Deaf man walking
","May 10, 2018 8:22PM ET"
8246,"Revenues at graphics chipmaker Nvidia surged by 66 per cent in its first quarter to $3.2bn, surpassing analysts’ forecasts thanks to strong growth from customers in both data centres and video gamers.. https://www.ft.com/content/0c20ceec-5489-11e8-b24e-cad...Show more
","May 10, 2018 8:14PM ET"
8247,"Follow the trend don't fight it will test highs before going down
","May 10, 2018 3:56PM ET"
8248,"Trillones market.
","May 10, 2018 3:50PM ET"
8249,"I am out...
","May 10, 2018 3:25PM ET"
8250,"Anwar we see next days what happens... everything can happens... the most are shorter then short... i am in the middle thinking friday down... then next week consolidation till next trump dump... and we have the lovely iran israel party
","May 10, 2018 2:41PM ET"
8251,"Dow in resistance zone should take a breather
","May 10, 2018 2:37PM ET"
8252,"Hi ANWAR KHATRI trump will be back soon with wonderfull news... he must bring the wall street down again so that we can buy more relaxed...
","May 10, 2018 2:35PM ET"
8253,"Hi Tom Tailor.I'm missing trump tantrums today &amp; it's getting boring without his antics on full display.
","May 10, 2018 2:25PM ET"
8254,"Fall of 24% of what it raised today. It could fall 16% more
","May 10, 2018 2:08PM ET"
8255,"Loai... i don't use twtter anymore... we see us here...
","May 10, 2018 1:22PM ET"
8256,"Shyam i will do like this... thx
","May 10, 2018 1:21PM ET"
8257,"Above 24130... Long term target 25300
","May 10, 2018 12:51PM ET"
8258,"25300
","May 10, 2018 12:50PM ET"
8259,"at what level dow jones will get retrun
","May 10, 2018 12:40PM ET"
8260,"broke through the triangle, same for hong kong and china index
","May 10, 2018 12:18PM ET"
8261,"Charts indicate will test highs before going down
","May 10, 2018 11:10AM ET"
8262,"simebody can explain me why it is up?
","May 10, 2018 10:45AM ET"
8263,"If Nvidia Blows Out Earnings This Week, Chip Stocks Could Explode. https://www.marketwatch.com/story/if-nvidia-blows-out-earnings-this-week-chip-stocks-could-explode-2018-05-09
","May 10, 2018 10:45AM ET"
8264,"wheres the rebound
","May 10, 2018 10:17AM ET"
8265,"Semiconductor supercycle
","May 10, 2018 10:06AM ET"
8266,"26,200-26,400 gogo
","May 10, 2018 10:05AM ET"
8267,"Dow intraday Buy above 24614. Sell below 24542
","May 10, 2018 9:46AM ET"
8268,"Qualcomm Unveils New $10 Billion Stock Repurchase Program. https://www.bloomberg.com/news/articles/2018-05-09/qualcomm-unveils-new-10-billion-stock-repurchase-program
","May 10, 2018 9:46AM ET"
8269,"we need more bombs dow should rise up
","May 10, 2018 9:02AM ET"
8270,"bombs on iran dow must breakout 200 points up....
","May 10, 2018 8:12AM ET"
8271,"Buy at 245xx TP 2500
","May 10, 2018 5:34AM ET"
8272,"Loai I'm out... hope see u tomorrow or Friday... in germany tomorrow is feiertag so its like sunday no working &amp; no shopping.... very boring... by by
","May 09, 2018 3:45PM ET"
8273,"Long term target 25300.
","May 09, 2018 2:38PM ET"
8274,"Closed my long at 24525 cash price, looking to short over 24600 for a wild ride down the stairs. Buckle up and enjoy the ride...
","May 09, 2018 2:31PM ET"
8275,"HI KINGSCALPER... SOMETIMES I POST A LINK TO YOUR TWTTER ACCOUNT BUT THEY ALWAYS ERASE IT....
","May 09, 2018 2:21PM ET"
8276,"hello everyone doing well here?
","May 09, 2018 2:01PM ET"
8277,"Which broker is best for Dow futures trade, please advise
","May 09, 2018 1:43PM ET"
8278,"VIX continues downward slope, DOW and 500 will continue to climb
","May 09, 2018 1:37PM ET"
8279,"Why this boost anyone?
","May 09, 2018 12:32PM ET"
8280,"Just follow the trend up
","May 09, 2018 12:31PM ET"
8281,"Just follow the trend higher
","May 09, 2018 12:30PM ET"
8282,"Enjoy the ride up
","May 09, 2018 12:23PM ET"
8283,"Mistake typo for short SL 24439
","May 09, 2018 11:58AM ET"
8284,"SL 24139...for short
","May 09, 2018 11:55AM ET"
8285,"wheres Mr Kumar and everyone else. looks like his comments have been deleted - why?
","May 09, 2018 11:42AM ET"
8286,"BTFD
","May 09, 2018 11:23AM ET"
8287,"BTFD
","May 09, 2018 11:19AM ET"
8288,"I find this technical study very good ...    .  https://www.tradingview.com/chart/DJI/FJcuEq8a-Trade-War-Technical-Bearish/
","May 09, 2018 10:34AM ET"
8289,"anyone out here?
","May 09, 2018 10:26AM ET"
8290,"? long short dow dont know
","May 09, 2018 10:11AM ET"
8291,"Jamie Dimon: Economy is ‘strong. . J.P. Morgan Chase Chairman and CEO Jamie Dimon thinks the U.S. economy is doing well for now.. . ""America looks pretty good. ... It looks like this [economic growth] may have legs to go. Maybe a year, maybe two, maybe mor...Show more
","May 09, 2018 9:28AM ET"
8292,"German industrial output posts best gain in months. https://www.timesofmalta.com/articles/view/20180509/business-news/Jump-in-German-industrial-output-dispels-growth-concerns.678596
","May 09, 2018 9:23AM ET"
8293,"anybody finished breakfast
","May 09, 2018 9:18AM ET"
8294,"forecast today....
","May 09, 2018 8:58AM ET"
8295,"Loai... hi... youre long at moment right now... i go long since tomorrow bought at 24288 ... till now ok just pitch stoploss and wait
","May 09, 2018 8:40AM ET"
8296,"Rally mode, but could very well be limited to 24600-24700 and then back to lows from there IMHO.
","May 09, 2018 7:20AM ET"
8297,"Today they will pop all the SLs of those who shorted the Iran news , then ready for next big downleg.. Its becoming open book play the tactics deployed...
","May 09, 2018 6:17AM ET"
8298,"I am short Dow &amp; 2399
","May 09, 2018 4:26AM ET"
8299,"Dow still cheap to buy long term TP 26,200-26,400
","May 08, 2018 9:29PM ET"
8300,"nasdaq 6830 dow 24550 s&amp;p 2685
","May 08, 2018 6:19PM ET"
8301,"Dow is gambling.
","May 08, 2018 4:50PM ET"
8302,"Nasty day
","May 08, 2018 4:11PM ET"
8303,"dow target 26000
","May 08, 2018 3:26PM ET"
8304,"vote for :) I think 1-2-3
","May 08, 2018 3:23PM ET"
8305,"keep growing.. why ?
","May 08, 2018 3:22PM ET"
8306,"ABC or 1-23 that is the question
","May 08, 2018 3:21PM ET"
8307,"Anything inside 0.3% is noise.
","May 08, 2018 3:21PM ET"
8308,"How much Is it still falling?
","May 08, 2018 2:45PM ET"
8309,"WW3
","May 08, 2018 2:44PM ET"
8310,"No big drop coming none buy opportunity
","May 08, 2018 2:24PM ET"
8311,"Its will. E big Crash as Us applied Sanctions on Iran. Any time Big drop is coming.
","May 08, 2018 2:09PM ET"
8312,"something good is coming...hope
","May 08, 2018 2:07PM ET"
8313,"why dow jones is stopped ?
","May 08, 2018 1:25PM ET"
8314,"All going to depend on what the sanctions might be. There are many European businesses that trade with Iran and heavyweight US ones, both at some point involved in the supply chain. If what he says is going to hurt those, then there will a fall. Look back ...Show more
","May 08, 2018 1:16PM ET"
8315,"bet on trump... we need trump index... so i ask my broker for that...
","May 08, 2018 1:00PM ET"
8316,"Like i said after he makes remarks on iran straight up this will take uncertainty out of market
","May 08, 2018 12:48PM ET"
8317,"Trump only does what he wants to do he always uses same tactic threatens tough to renegotiate he will not pull from deal
","May 08, 2018 12:46PM ET"
8318,"Trump tells Macron he will WITHDRAW from Iran nuclear deal ahead of announcement
","May 08, 2018 12:41PM ET"
8319,"After trump makes remarks on iran deal straight up no doubt
","May 08, 2018 12:39PM ET"
8320,"Below 24000...target... 23300
","May 08, 2018 12:34PM ET"
8321,"Below 24000....t
","May 08, 2018 12:32PM ET"
8322,"Maybe will rise along the trend line after Trump
","May 08, 2018 12:00PM ET"
8323,"Trump is expected to announce he will allow sanctions to go forward on Iran
","May 08, 2018 11:21AM ET"
8324,"Better stay away till President Trump Speaks
","May 08, 2018 10:24AM ET"
8325,"DOW Range price between 23.500 to 24.500, sideways from March 23 until now
","May 08, 2018 10:15AM ET"
8326,"Mkt is not behaving logically.
","May 08, 2018 10:00AM ET"
8327,"Down
","May 08, 2018 10:00AM ET"
8328,"mkt is not behaving logically
","May 08, 2018 9:59AM ET"
8329,"shorted the DOW at 24..4k
","May 08, 2018 9:52AM ET"
8330,"anybody here
","May 08, 2018 9:42AM ET"
8331,"forecast....?
","May 08, 2018 8:14AM ET"
8332,"10 year note auction tomorrow..should be entertaining watching the yield today and tomorrow:-O
","May 08, 2018 7:46AM ET"
8333,"Chinese exports rebound despite trade brawl. http://www.acbr.com.au/chinese-exports-rebound-despite-trade-brawl
","May 08, 2018 4:26AM ET"
8334,"I am short @ 328
","May 08, 2018 3:27AM ET"
8335,"Apple is an 'amazing' company with best profit potential in tech, Bill Gates says. https://www.cnbc.com/2018/05/07/apple-is-an-amazing-company-says-bill-gates.html
","May 08, 2018 1:35AM ET"
8336,"i lost 550$ within 15min only
","May 07, 2018 10:59PM ET"
8337,"Gap closed
","May 07, 2018 4:05PM ET"
8338,"Moving as planned!
","May 07, 2018 3:53PM ET"
8339,"Dow will touch 27000 very soon
","May 07, 2018 2:42PM ET"
8340,"S&amp;P 2682 is cracking to the upside, watch out...
","May 07, 2018 2:36PM ET"
8341,"No clear trend
","May 07, 2018 2:06PM ET"
8342,"This is the **** Indicators are pointing downwards, but there's not a clear fall
","May 07, 2018 1:47PM ET"
8343,"24000 at the end of the Day.
","May 07, 2018 1:06PM ET"
8344,"Reminds me of what in former days happened to the Nikkei...
","May 07, 2018 12:58PM ET"
8345,"Wall Street Is Dead Wrong on Semiconductor Stocks; This One Could Jump 77%. https://moneymorning.com/2018/05/07/wall-street-is-dead-wrong-on-semiconductor-stocks-this-one-could-jump-77/
","May 07, 2018 12:01PM ET"
8346,"Will test high before going down 26200
","May 07, 2018 11:48AM ET"
8347,"Just jumped on the Dow train.. going short for the next hour then a long haul .... any advice?
","May 07, 2018 11:46AM ET"
8348,"26,200-26,400 , bears gonna worry
","May 07, 2018 11:27AM ET"
8349,"I think this week will go to 24800
","May 07, 2018 10:53AM ET"
8350,"Go 24570 - 25k, Open Space in 1H chart
","May 07, 2018 10:38AM ET"
8351,"26,200-26,400 Go
","May 07, 2018 10:26AM ET"
8352,"live market now short short short. market will down soon. big investors are starting to cash out
","May 07, 2018 10:20AM ET"
8353,"SELL @24479 sl 24550 tg:24330
","May 07, 2018 10:02AM ET"
8354,"any forecast for today
","May 07, 2018 5:58AM ET"
8355,"26,200-26,400 at least before serious drop
","May 06, 2018 10:14PM ET"
8356,"Maybe Wave 3. started.. . https://i.imgur.com/mPwTfWL.png
","May 06, 2018 2:15PM ET"
8357,"50..50 mbe
","May 06, 2018 10:27AM ET"
8358,"DJI is poised for a BIG fall.
","May 06, 2018 9:38AM ET"
8359,"? monday...
","May 06, 2018 9:18AM ET"
8360,"next Monday i think will reverse to 24050 zones then go to 24550 zone and closing 24350 zones.
","May 06, 2018 6:24AM ET"
8361,"The dji make new life high again. In a hurry
","May 06, 2018 3:30AM ET"
8362,"I think that next monday the proceso falls. I'm not sure how much but the current price is near a resistance zone. Furthermore, RSI is crossing below .50
","May 05, 2018 7:15PM ET"
8363,"Chip Sales Running 20% Above 2017 Pace . https://www.eetimes.com/document.asp?doc_id=1333249
","May 05, 2018 12:03AM ET"
8364,"Long-term 25,600-25,700
","May 04, 2018 8:06PM ET"
8365,"if i was younger i did scalping like a child just push buttons... as more as i read and look chart more stupid i get
","May 04, 2018 3:49PM ET"
8366,"Really tough time to analyse this tipe of market
","May 04, 2018 3:12PM ET"
8367,"nadaq/s&amp;sp, stuck just under r2, could be influencing dow a little
","May 04, 2018 1:47PM ET"
8368,"no manipulation,  bears simply became exhausted yesterday, as dow touched important rising trendline (daily) from feb low.  bulls in control it today, but are  looking a little exhausted at this point. needs new money inflow if its going higher today.  cou...Show more
","May 04, 2018 1:43PM ET"
8369,"Shorting this market below 24380 is gambling!
","May 04, 2018 1:40PM ET"
8370,"I love manipulation,, gives one multiple chances to hit it down from top,, just wait the train to stop,, guess 24,400 - 500 zone..
","May 04, 2018 1:31PM ET"
8371,"MANIPULATIONS AT PEAKS BY OPERATORS. TURN ASIAN MARKETS DOWN AND HERE TAKE US MARKET UP.  MONDAY LET ALL RETAILERS DIE IN ASIA BY GAP UP OPEN. SUPERB
","May 04, 2018 1:18PM ET"
8372,"You can then open a new position knowing that you aren't going to make any more loss or profit on your original position. When you know where the market is going add stops on the original position that's losing. Because your new position will make up the l...Show more
","May 04, 2018 1:05PM ET"
8373,"PS locking down means hedge it, lock in whatever profit or loss you have with no stops you won't be any worse or better off by next week :P
","May 04, 2018 12:58PM ET"
